ID_cliente,Baja,Genero,Ciudadano_Mayor,Pareja,Dependientes,Tiempo_contrato,Servicio_telefonia,Lineas_multiples,Servicio_internet,Seguridad_online,Respaldo_online,Proteccion_dispositivo,Soporte_tecnico,TV_streaming,Peliculas_streaming,Tipo_contrato,Facturacion_digital,Metodo_pago,Cargo_mensual,Total_gastado,Cuentas_Diarias
0002-ORFBO,No,Mujer,No,Sí,Sí,9,Sí,No,DSL,No,Sí,No,Sí,Sí,No,Un año,Sí,Cheque postal,65.6,593.3,2.19
0003-MKNFE,No,Hombre,No,No,No,9,Sí,Sí,DSL,No,No,No,No,No,Sí,Mensual,No,Cheque postal,59.9,542.4,2.0
0004-TLHLJ,Sí,Hombre,No,No,No,4,Sí,No,Fibra óptica,No,No,Sí,No,No,No,Mensual,Sí,Cheque electrónico,73.9,280.85,2.46
0011-IGKFF,Sí,Hombre,Yes,Sí,No,13,Sí,No,Fibra óptica,No,Sí,Sí,No,Sí,Sí,Mensual,Sí,Cheque electrónico,98.0,1237.85,3.27
0013-EXCHZ,Sí,Mujer,Yes,Sí,No,3,Sí,No,Fibra óptica,No,No,No,Sí,Sí,No,Mensual,Sí,Cheque postal,83.9,267.4,2.8
0013-MHZWF,No,Mujer,No,No,Sí,9,Sí,No,DSL,No,No,No,Sí,Sí,Sí,Mensual,Sí,Tarjeta de crédito,69.4,571.45,2.31
0013-SMEOE,No,Mujer,Yes,Sí,No,71,Sí,No,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Transferencia bancaria,109.7,7904.25,3.66
0014-BMAQU,No,Hombre,No,Sí,No,63,Sí,Sí,Fibra óptica,Sí,No,No,Sí,No,No,Dos años,Sí,Tarjeta de crédito,84.65,5377.8,2.82
0015-UOCOJ,No,Mujer,Yes,No,No,7,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Sí,Cheque electrónico,48.2,340.35,1.61
0016-QLJIS,No,Mujer,No,Sí,Sí,65,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Cheque postal,90.45,5957.9,3.02
0017-DINOC,No,Hombre,No,No,No,54,No,Sin servicio telefónico,DSL,Sí,No,No,Sí,Sí,No,Dos años,No,Tarjeta de crédito,45.2,2460.55,1.51
0017-IUDMW,No,Mujer,No,Sí,Sí,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí,Dos años,Sí,Tarjeta de crédito,116.8,8456.75,3.89
0018-NYROU,No,Mujer,No,Sí,No,5,Sí,No,Fibra óptica,No,No,No,No,No,No,Mensual,Sí,Cheque electrónico,68.95,351.5,2.3
0019-EFAEP,No,Mujer,No,No,No,72,Sí,Sí,Fibra óptica,Sí,Sí,Sí,No,Sí,No,Dos años,Sí,Transferencia bancaria,101.3,7261.25,3.38
0019-GFNTW,No,Mujer,No,No,No,56,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,Sí,No,No,Dos años,No,Transferencia bancaria,45.05,2560.1,1.5
